,000,10,100,11,12,13,14,15,16,17,18,19,20,2010,2011,2015,2016,2017,2018,2019,2020,2021,2025,21,22,23,24,25,26,27,28,29,30,31,32,35,40,50,59,60,61,62,63,64,65,66,67,68,69,70,aan,aanpak,aantal,advies,af,al,alle,alleen,als,and,andere,antwoord,artikel,basis,bedrijven,belang,betreft,bij,bijlage,bijvoorbeeld,binnen,brief,daarbij,daarnaast,dan,data,datum,deel,den,deze,die,dit,doen,door,dus,eerste,eigen,er,eu,euro,europese,extra,figuur,financiële,for,gaan,gaat,gebruik,geeft,geen,gegevens,geldt,gemaakt,gemeenten,geval,geven,goed,grond,grote,haag,hebben,heeft,hier,hierbij,hoe,https,huidige,hun,ii,ik,indien,informatie,ja,jaar,jaren,kabinet,kader,kamer,kan,kenmerk,km,knooppunt,komen,komt,kosten,kunnen,leden,lid,maar,maatregelen,maken,mbo,meer,mensen,met,miljoen,minder,minister,ministerie,moet,moeten,mogelijk,na,naar,nederland,nederlandse,nemen,niet,nieuwe,nl,nodig,nog,nr,nu,of,om,omdat,on,onder,onderdeel,onderwijs,onderzoek,ontwikkeling,onze,ook,op,opgenomen,over,overige,pagina,partijen,per,periode,personen,problemen,programma,raad,rapport,regeling,regio,respondenten,resultaten,risico,rws,samen,samenwerking,scholen,sector,sprake,staat,tabel,te,ten,the,to,toe,tot,totaal,tussen,twee,tweede,uit,uw,vanuit,veel,verder,verschillende,via,voor,vraag,vragen,waar,waarbij,waarin,was,wat,we,wel,welke,werd,werken,wet,worden,wordt,www,zaken,zal,ze,zich,zie,zien,zij,zijn,zo,zoals,zorg,zou,zowel,zullen,één
250,0,2,0,6,4,8,4,7,6,3,7,9,10,0,0,7,9,4,33,44,3,0,0,8,4,3,9,5,4,3,2,7,4,6,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,55,2,12,8,6,2,28,5,40,0,24,0,4,26,1,7,6,105,15,2,45,2,16,14,10,0,1,8,4,73,59,70,0,71,4,0,5,24,0,0,0,1,4,14,0,5,6,8,3,32,0,3,10,0,4,9,5,4,3,4,10,26,11,6,15,1,0,6,0,0,2,39,9,20,0,0,10,20,7,6,0,0,4,2,0,3,1,1,14,1,6,0,11,0,133,0,3,21,37,4,1,1,1,22,1,0,2,28,2,1,3,5,12,1,38,34,4,0,8,19,0,42,2,0,29,256,12,63,4,38,2,26,1,1,0,1,17,19,7,0,0,1,12,0,1,22,0,0,18,6,11,65,24,0,0,1,28,2,21,8,7,46,0,23,2,3,5,6,109,14,1,11,12,16,4,13,2,2,36,0,2,15,46,80,0,23,0,0,20,8,2,12,84,7,7,0,1,8,1,10
252,267,100,35,79,33,30,32,41,77,39,30,32,52,47,1,1,0,0,1,0,64,0,0,20,21,26,21,33,15,68,17,18,17,21,16,63,89,60,71,194,251,185,166,197,311,55,56,47,45,153,193,0,87,0,9,43,14,28,261,21,59,14,0,137,1,10,37,231,11,87,5,0,29,39,306,15,0,37,13,208,274,166,18,91,41,41,6,161,0,0,0,41,19,19,16,187,91,215,30,82,11,47,31,0,83,32,16,0,6,13,72,89,99,53,46,0,15,33,3,72,60,9,113,765,17,1,2,0,121,0,0,0,23,32,10,62,0,0,83,5,107,2,82,5,640,1,85,0,11,46,21,66,118,101,15,2,26,254,14,1,8,36,0,64,266,164,6,9,95,2,4,17,5,12,173,779,14,35,22,0,0,102,11,91,2,1,0,7,178,0,79,24,0,0,8,0,0,3,63,21,245,467,77,56,15,26,340,16,99,33,6,112,205,29,3,19,11,61,625,37,71,14,37,9,26,63,228,135,50,10,99,0,145,214,0,5,41,18,14,78,47,22,328,74,50,0,151,14,19,1
253,0,3,0,0,0,2,0,0,2,6,1,3,0,0,0,0,0,0,15,20,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,4,0,0,3,4,3,12,0,3,0,0,6,0,1,3,12,4,4,0,18,1,1,6,6,9,8,4,23,22,10,1,18,2,5,0,3,1,0,0,0,0,0,0,0,2,1,0,1,1,2,6,0,2,6,2,1,0,4,6,18,0,3,1,0,2,0,3,5,0,5,0,0,3,0,1,17,3,8,0,0,0,0,0,2,2,0,4,1,0,0,5,0,26,0,1,0,3,1,0,1,1,8,4,1,0,22,3,2,1,1,3,2,6,22,2,0,0,2,0,1,3,0,14,39,3,30,0,7,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,16,29,0,0,0,9,1,4,5,5,4,16,0,0,1,0,0,8,3,0,2,6,0,3,1,0,2,1,1,0,0,23,33,1,1,6,2,4,3,1,1,14,5,13,0,4,4,1,1
257,1,6,0,2,0,2,2,3,0,1,1,4,0,0,0,0,0,0,4,19,49,7,0,1,1,1,0,2,1,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92,19,12,0,6,35,23,1,70,0,27,0,0,9,0,7,4,85,0,17,18,1,9,16,16,1,0,0,9,61,92,40,14,51,0,23,4,100,0,0,0,13,1,4,0,19,8,9,1,7,4,1,6,62,1,17,29,1,8,3,40,35,8,7,19,17,2,33,0,109,0,9,0,13,3,0,1,1,24,0,0,0,12,13,0,59,2,5,21,8,23,0,49,4,147,3,7,1,28,4,6,15,21,30,2,0,5,65,9,35,22,30,0,43,46,104,6,0,10,4,0,6,15,7,60,154,2,47,0,0,13,7,18,0,17,41,2,1,0,33,0,9,7,0,26,25,0,0,1,8,0,170,7,0,0,7,21,3,11,12,8,40,0,16,20,16,24,16,152,1,7,15,9,10,19,64,87,5,7,3,19,1,72,51,27,2,12,19,17,6,12,45,112,21,11,20,5,15,6,4
258,0,4,0,4,3,5,4,3,4,5,3,5,15,12,20,3,0,0,0,0,0,0,0,3,1,22,0,0,1,0,0,0,0,0,1,2,0,2,0,2,0,0,0,0,1,0,0,1,0,1,60,12,10,4,1,5,11,5,18,21,12,0,0,7,3,13,6,41,4,4,18,2,12,2,6,0,1,1,0,43,33,23,1,43,0,1,3,7,65,0,0,3,0,24,12,8,9,5,2,9,0,2,1,0,3,2,7,1,5,0,13,14,5,2,2,0,5,29,7,0,1,9,0,0,3,14,5,5,20,0,0,0,4,7,2,13,0,0,9,4,5,0,32,2,69,3,6,2,2,10,13,5,2,15,44,15,2,25,9,9,8,7,2,5,29,49,7,6,9,3,0,1,44,4,33,139,0,55,0,21,5,4,0,1,5,3,3,1,0,4,0,2,1,0,2,21,0,5,2,1,0,74,8,3,0,2,39,0,31,3,0,18,0,7,3,2,6,22,147,3,4,10,2,3,0,1,0,8,3,0,3,0,31,15,1,5,19,6,23,8,0,4,57,6,15,1,4,9,8,2
259,0,6,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,3,3,5,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,3,13,0,6,0,0,0,0,0,1,12,0,2,1,1,1,0,4,0,5,0,2,16,8,8,0,1,1,0,0,6,0,0,0,0,0,0,0,1,2,1,0,1,1,0,2,0,4,1,0,3,4,2,0,8,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,1,0,0,1,1,0,11,0,0,3,0,0,0,7,0,10,0,0,0,0,1,5,3,2,8,0,0,0,15,0,0,2,2,0,0,13,8,1,0,6,0,0,5,0,0,4,22,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,16,0,0,0,1,5,1,1,1,0,14,0,0,1,2,0,0,23,0,0,1,1,0,0,1,0,0,1,0,1,0,17,21,0,0,3,1,0,0,0,0,13,2,1,0,3,1,0,1
261,3,44,15,30,36,30,30,32,30,27,7,21,206,285,58,45,0,1,0,0,7,1,1,9,5,4,5,16,8,10,6,8,13,5,4,8,8,16,4,10,5,2,4,4,6,3,3,5,5,5,188,22,19,5,2,12,18,8,59,1,23,0,0,21,8,7,12,91,2,5,20,0,17,12,16,0,0,25,7,88,85,88,4,91,3,22,5,71,3,84,9,14,33,8,0,12,15,17,11,32,1,4,23,62,1,10,4,13,16,4,30,40,4,8,12,0,17,18,0,0,0,15,1,38,9,43,23,23,22,0,4,0,16,9,40,37,0,0,8,92,17,0,66,1,194,47,7,6,73,13,15,19,19,90,64,27,9,30,40,7,22,19,2,8,42,131,9,3,33,16,2,50,21,9,61,246,19,116,10,0,9,29,10,0,1,28,3,0,1,10,0,10,3,2,17,39,0,3,6,9,3,166,33,1,3,3,65,15,47,15,34,107,0,12,8,18,12,11,427,4,5,15,5,10,11,10,0,6,7,20,10,12,120,134,5,15,13,7,6,15,1,2,164,13,33,2,1,3,2,6
263,3,6,0,3,2,4,3,4,3,7,9,4,6,0,0,0,3,13,3,4,6,0,0,3,3,4,3,3,2,3,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,55,0,29,2,2,12,18,6,42,0,28,0,0,7,2,29,3,43,8,30,27,0,7,15,4,64,0,5,2,40,84,45,4,44,4,2,3,48,1,0,0,6,0,1,2,10,2,27,7,8,22,2,6,1,9,5,20,0,2,2,29,24,1,16,23,26,0,18,0,0,1,35,0,2,2,0,1,0,70,1,0,0,6,0,1,54,5,0,9,28,26,0,35,7,82,2,2,0,15,22,25,13,11,16,21,8,21,34,4,22,9,3,0,0,63,121,0,3,11,4,0,2,0,4,39,120,3,36,1,11,27,7,0,5,1,0,0,5,0,0,1,3,25,0,1,1,0,7,0,7,0,199,4,10,6,2,31,2,5,3,1,21,7,0,8,2,15,11,122,0,2,7,10,3,6,41,2,7,41,3,5,1,77,49,24,1,7,45,8,20,7,4,89,6,25,37,1,5,1,7
264,0,3,0,0,0,1,2,4,1,0,1,1,7,0,0,0,0,0,0,14,0,0,0,2,4,1,1,1,0,2,1,3,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,5,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,6,0,8,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0
265,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,4,1,0,0,0,3,0,4,3,6,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,1,4,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,1,1,0,0,0,0,6,0,0,1,0,0,1,0,0,1,0,1,0,8,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,1,1,10,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1,6,2,0,0,1,0,5,0,0,2,0,1,0,0,0,2,0,1,0,0,4,1,1,1,1,0,1,0,2,1,2,0,1,0,1,0,1,1
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
267,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,5,8,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,1,4,0,8,0,1,0,0,3,0,0,0,9,0,0,2,5,2,2,6,0,1,0,0,4,13,5,4,2,0,1,0,3,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,1,0,1,0,0,1,0,7,3,0,0,2,0,3,0,0,23,0,3,2,1,0,0,1,7,8,0,0,0,0,0,0,4,0,1,1,3,2,0,4,2,12,0,0,2,1,1,1,0,0,1,0,0,1,5,0,0,2,2,2,1,3,15,0,0,2,0,0,0,0,0,10,17,2,8,0,0,9,8,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,1,1,0,0,3,0,0,0,0,0,7,1,1,0,1,0,15,1,1,3,1,0,1,1,1,4,1,3,1,18,5,6,0,3,1,2,3,0,0,2,7,2,5,0,0,0,0,0
269,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,2,0,1,0,2,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,14,0,0,0,0,0,0,0,5,0,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,2,0,1,4,0,0,0,5,0,0,0,0,0,1,1,3,0,0,3,0,0,5,0,1,0,8,0,2,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,0,3,6,0,0,0,0,0,0,0
272,0,2,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
273,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,1,6,0,1,0,13,1,0,1,1,10,0,0,1,1,1,0,0,0,0,0,3,7,5,2,0,4,0,2,0,5,0,0,0,0,0,0,0,5,1,0,3,8,0,0,1,0,3,1,0,1,0,3,0,4,0,0,1,0,2,0,0,1,4,0,0,4,0,0,0,0,2,0,0,0,0,1,3,1,0,9,1,0,5,0,2,0,7,0,0,1,0,0,1,0,8,2,0,0,2,10,0,0,0,0,0,1,6,12,1,0,5,0,0,0,0,0,4,12,0,8,0,0,0,0,0,0,2,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,1,21,0,0,0,1,1,1,2,0,0,1,0,10,2,1,1,0,1,2,1,0,5,0,0,0,3,6,7,0,1,2,0,5,0,2,3,3,1,0,0,5,0,0,1
274,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,9,0,1,0,0,2,0,0,2,5,4,0,4,3,2,1,1,0,3,3,4,4,8,3,0,1,0,1,0,3,0,0,0,0,0,1,0,1,0,0,4,0,0,3,0,1,0,0,1,0,0,4,2,0,0,0,2,0,0,2,1,9,0,0,0,0,0,2,0,5,3,4,0,0,0,0,0,2,0,0,0,0,2,0,2,0,8,0,0,2,4,1,4,0,1,3,0,0,0,9,1,1,3,3,2,1,2,3,0,0,1,0,0,0,0,0,7,19,0,9,0,3,0,1,0,0,0,0,3,2,1,0,0,0,1,0,1,1,0,0,0,0,0,11,0,0,0,0,5,0,6,1,2,2,4,1,1,0,1,0,17,1,0,2,0,4,0,0,0,2,5,0,1,2,4,9,4,1,0,0,2,0,0,3,4,0,1,0,2,1,1,2
277,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
278,27,61,32,54,36,41,44,59,55,41,21,26,40,5,0,134,42,122,19,6,0,0,0,28,27,28,25,35,19,23,29,31,34,20,14,21,31,16,10,23,5,5,6,7,8,6,9,3,5,8,79,1,200,1,6,21,17,8,65,1,24,0,0,7,14,15,1,120,8,25,9,2,8,6,70,6,0,11,12,98,101,39,9,37,19,16,5,94,0,0,0,13,47,0,0,7,13,2,10,27,5,12,11,59,3,8,11,0,22,8,73,23,11,4,15,10,0,14,0,0,0,4,0,11,3,2,4,2,23,1,0,0,12,5,0,59,0,0,34,0,14,0,27,97,147,0,12,0,5,4,8,11,10,112,1,4,7,67,9,10,3,15,0,5,63,72,21,0,34,1,4,29,91,2,90,134,17,22,3,0,3,39,22,137,1,0,2,4,0,138,0,1,0,0,7,24,9,11,8,9,32,119,16,0,0,18,26,8,119,0,10,80,1,6,23,8,14,26,157,9,2,20,7,11,8,21,165,20,17,6,12,2,43,24,6,6,5,30,12,21,46,12,151,7,14,0,3,6,2,0
279,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,8,4,0,0,0,2,1,0,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,2,6,0,4,2,6,1,23,0,7,1,0,5,0,6,1,50,2,8,9,1,0,3,9,0,0,0,0,21,21,26,0,18,2,3,1,14,0,2,0,0,0,0,0,1,3,14,1,6,0,5,3,0,6,2,5,0,4,0,7,8,2,4,2,9,0,2,4,0,3,3,7,3,2,2,2,3,17,0,0,0,1,2,0,10,0,1,1,2,6,0,11,0,31,3,1,2,2,5,5,7,2,8,0,0,0,11,5,12,3,2,6,1,50,32,2,0,4,0,0,4,7,0,16,27,0,6,0,0,2,3,0,0,0,1,0,0,0,0,0,4,7,0,0,0,0,1,4,1,0,57,8,0,0,10,11,0,3,2,3,20,0,0,6,4,6,3,43,6,6,4,5,6,0,4,0,1,6,0,0,1,34,21,6,2,7,2,4,0,0,0,42,2,4,0,0,3,3,1
281,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,2,0,2,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,4,2,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,2,5,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,4,1,0,0,0,0,1,0,2,1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
284,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,2,0,1,0,2,6,0,0,2,1,2,6,0,0,3,9,0,1,1,0,2,1,3,2,5,9,0,6,0,0,0,3,8,0,16,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,6,7,0,1,1,5,0,2,0,8,0,3,2,0,0,0,0,5,2,2,0,0,0,0,0,4,0,0,0,3,0,0,1,0,10,0,0,3,0,1,2,5,0,4,3,1,0,3,1,2,0,0,3,2,3,10,0,0,0,0,0,0,0,0,3,14,0,14,0,4,1,0,2,1,0,0,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,15,0,0,0,0,3,0,4,0,4,4,3,1,0,1,2,2,14,10,1,0,0,0,0,0,1,1,2,0,0,0,5,1,2,1,3,0,0,1,0,0,3,7,1,1,2,0,0,0
291,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,1,0,5,0,2,0,1,0,0,0,1,2,0,1,1,2,1,1,4,0,2,0,3,6,2,3,0,6,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,3,0,1,0,1,0,0,0,2,0,5,0,0,1,0,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,0,0,3,0,2,1,4,0,0,0,0,0,4,0,1,0,1,0,0,4,1,1,0,1,0,0,0,0,0,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,1,2,0,2,0,1,0,0,1,0,0,1,0,0,0,5,5,1,2,1,0,2,0,0,0,2,2,3,0,1,0,0,0
292,40,4,1,28,4,4,2,12,8,11,2,22,23,0,0,0,0,0,8,33,86,29,0,3,3,2,10,7,3,4,6,2,3,3,10,7,5,4,1,2,2,1,2,4,2,6,0,0,0,0,181,2,20,6,0,30,14,21,48,0,37,2,0,27,27,16,27,71,0,37,16,19,5,8,40,0,0,8,1,281,203,125,28,117,3,23,9,116,0,18,2,30,0,10,0,16,22,15,8,32,4,10,18,59,3,26,13,4,18,0,76,62,23,8,37,16,12,42,20,85,12,26,10,27,7,29,3,12,81,0,0,0,34,13,13,73,272,3,36,52,47,0,30,15,131,80,12,228,9,9,19,28,15,25,19,10,4,98,21,35,15,47,25,29,125,188,19,0,59,11,4,1,8,1,147,260,2,96,1,42,19,39,16,0,4,14,8,0,56,2,0,1,0,0,5,19,0,22,0,17,2,293,21,0,0,11,61,3,25,11,21,73,8,22,10,17,12,33,375,3,160,40,9,3,66,35,7,22,33,7,4,2,105,56,28,9,22,15,21,4,13,62,159,76,31,4,4,1,13,9
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,3,0,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,1,0,0,2,6,0,0,0,0,4,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,3,0,1,0,0,0,1,0,0,1,0,1,0,0
294,3,10,9,7,3,5,4,5,6,4,8,5,10,0,0,0,0,0,0,2,4,1,0,3,8,1,2,5,4,2,6,3,4,3,2,2,2,4,1,1,3,4,5,2,0,0,7,3,2,1,28,0,19,12,1,4,7,1,49,0,10,5,2,1,0,1,0,55,6,1,2,0,1,9,23,2,1,2,0,29,51,23,28,27,1,0,1,47,0,0,0,1,0,0,0,0,1,0,8,15,0,3,2,0,0,1,6,0,4,0,20,23,4,2,8,27,5,1,0,72,1,11,4,1,1,0,0,0,13,0,0,0,33,13,0,12,0,0,5,0,5,0,15,33,75,0,4,0,2,12,14,5,7,17,0,0,1,73,6,41,1,10,0,1,43,22,1,0,7,0,0,11,0,2,33,43,2,21,0,5,1,0,0,2,2,1,0,2,0,0,0,3,0,0,1,6,0,0,2,2,0,62,7,0,0,1,1,11,11,3,0,6,0,6,6,2,5,3,40,10,2,1,1,0,5,31,20,8,0,5,0,0,14,40,30,0,8,19,1,0,22,14,55,3,6,0,35,7,2,8
299,0,3,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,7,1,0,0,0,1,0,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,3,7,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,8,0,0,4,0,0,0,0,0,2,0,0,0,0,2,1,0,0,3,1,0,1,0,0,1,2,2,0,0,2,2,4,1,7,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,1,2,7,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0
