,000,10,100,11,12,13,14,15,16,17,18,19,20,2010,2011,2015,2016,2017,2018,2019,2020,2021,2025,21,22,23,24,25,26,27,28,29,30,31,32,35,40,50,59,60,61,62,63,64,65,66,67,68,69,70,aan,aanpak,aantal,advies,af,al,alle,alleen,als,and,andere,antwoord,artikel,basis,bedrijven,belang,betreft,bij,bijlage,bijvoorbeeld,binnen,brief,daarbij,daarnaast,dan,data,datum,deel,den,deze,die,dit,doen,door,dus,eerste,eigen,er,eu,euro,europese,extra,figuur,financiële,for,gaan,gaat,gebruik,geeft,geen,gegevens,geldt,gemaakt,gemeenten,geval,geven,goed,grond,grote,haag,hebben,heeft,hier,hierbij,hoe,https,huidige,hun,ii,ik,indien,informatie,ja,jaar,jaren,kabinet,kader,kamer,kan,kenmerk,km,knooppunt,komen,komt,kosten,kunnen,leden,lid,maar,maatregelen,maken,mbo,meer,mensen,met,miljoen,minder,minister,ministerie,moet,moeten,mogelijk,na,naar,nederland,nederlandse,nemen,niet,nieuwe,nl,nodig,nog,nr,nu,of,om,omdat,on,onder,onderdeel,onderwijs,onderzoek,ontwikkeling,onze,ook,op,opgenomen,over,overige,pagina,partijen,per,periode,personen,problemen,programma,raad,rapport,regeling,regio,respondenten,resultaten,risico,rws,samen,samenwerking,scholen,sector,sprake,staat,tabel,te,ten,the,to,toe,tot,totaal,tussen,twee,tweede,uit,uw,vanuit,veel,verder,verschillende,via,voor,vraag,vragen,waar,waarbij,waarin,was,wat,we,wel,welke,werd,werken,wet,worden,wordt,www,zaken,zal,ze,zich,zie,zien,zij,zijn,zo,zoals,zorg,zou,zowel,zullen,één
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,7,2,1,0,0,1,3,0,0,1,1,0,0,0,0,1,1,4,6,4,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,2,1,0,2,0,2,0,0,2,0,0,0,3,3,3,4,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,4,0,3,1,2,0,0,0,0,0,2,1,2,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,9,2,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,3,5,12,5,0,0,0,0,0,0,1,1,0,0,0,0,2,1,4,1,0,0,0,0,0,6,2,2,0,1,0,0,0
17,0,0,0,1,0,2,0,1,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,0,0,0,1,8,0,7,8,1,0,1,1,1,3,0,3,0,2,1,2,2,1,2,1,3,9,8,10,0,6,1,0,1,6,1,0,3,0,0,0,0,0,1,1,0,3,0,0,1,0,1,0,2,0,0,3,2,6,4,1,1,1,1,3,0,8,1,2,3,2,0,1,0,2,6,2,0,0,1,0,1,6,0,0,4,2,3,0,7,0,11,0,0,3,0,1,2,5,4,11,5,0,2,5,0,3,0,3,1,2,12,14,2,0,5,1,0,0,0,0,9,27,0,10,0,5,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,2,1,2,0,19,1,0,0,1,3,0,12,0,5,2,2,2,2,3,1,0,18,2,2,1,3,0,1,1,0,3,4,0,1,0,8,8,1,3,2,1,1,1,0,0,13,3,0,0,2,1,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,14,21,1,23,24,10,5,13,18,13,9,1,8,0,3,6,3,19,7,10,18,0,0,3,3,2,1,5,0,0,2,2,2,3,0,4,1,0,3,0,1,0,1,2,1,1,3,1,0,1,21,2,7,0,10,3,3,11,16,0,6,0,6,2,0,4,4,35,1,3,1,0,1,5,34,0,0,3,0,34,21,27,1,15,0,2,3,17,0,1,0,15,4,1,0,7,8,0,3,5,0,2,0,0,1,3,0,0,10,0,18,14,2,3,5,7,4,5,0,0,4,0,0,66,4,3,0,1,7,0,0,0,2,11,28,5,1,0,15,0,2,0,27,0,98,2,7,0,0,0,1,2,13,19,2,1,2,19,1,9,0,2,0,1,25,26,7,0,14,0,3,8,4,0,18,51,1,12,0,0,0,6,6,0,1,0,0,0,3,0,0,0,17,0,2,0,0,0,6,0,6,45,1,0,0,5,12,1,10,10,2,16,0,4,10,6,9,1,91,0,1,1,2,1,3,1,7,9,2,0,6,6,9,18,5,0,3,4,2,1,7,6,18,2,2,2,0,3,0,6
21,0,0,0,1,1,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,1,0,0,2,1,3,1,1,0,0,1,0,0,1,7,0,0,1,3,0,1,3,0,4,1,5,8,19,4,1,7,1,0,0,4,0,0,0,0,0,0,1,3,4,0,1,0,3,0,1,0,3,1,1,0,0,5,2,2,0,0,0,0,0,3,0,7,0,0,0,2,0,4,0,7,10,4,0,0,1,0,0,8,7,0,0,4,5,0,4,0,5,0,0,1,0,3,4,8,2,3,4,5,1,19,1,2,4,1,0,0,11,17,1,0,2,0,0,0,0,0,10,7,3,4,0,4,0,4,0,6,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,1,0,0,0,1,0,0,0,4,2,3,4,4,0,1,5,23,0,0,1,0,0,0,0,0,1,1,0,0,1,15,5,1,1,1,0,4,0,0,0,13,2,2,0,0,0,4,0
22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,4,3,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,3,1,0,0,0,0,1,0,4,0,0,5,1,0,0,0,1,1,0,1,0,2,0,17,0,0,2,0,1,1,0,0,4,0,0,0,0,0,0,5,0,2,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,4,0,1,0,0,0,3,0,0,0,0,0,2,0
24,1,3,0,4,3,2,0,7,0,0,0,0,1,0,0,0,0,3,9,29,21,0,0,0,1,0,2,0,0,0,0,2,1,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,20,4,13,0,0,2,2,0,16,0,2,17,0,0,1,1,2,6,1,4,2,3,2,3,6,0,7,1,3,15,12,6,6,6,1,1,1,15,0,2,0,6,0,4,0,2,7,2,0,2,0,0,0,17,1,0,0,0,1,3,9,13,1,3,7,2,0,3,1,7,0,0,2,5,0,28,0,14,9,1,0,0,5,3,0,9,0,3,5,4,5,0,13,17,45,4,1,1,2,2,1,2,0,11,3,0,0,17,0,5,0,3,11,0,9,20,1,0,9,0,0,6,0,8,19,37,0,12,0,7,1,3,0,1,0,1,0,1,0,0,0,0,5,0,3,0,0,0,0,1,0,30,1,0,0,1,4,0,2,0,10,11,5,5,5,4,0,7,23,29,1,1,0,1,0,5,5,2,6,0,9,1,6,4,3,5,3,2,5,2,3,4,7,2,6,0,0,2,1,0
26,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,1,1,0,0,1,4,0,0,0,1,1,0,2,0,1,0,4,6,1,5,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,1,1,1,0,0,0,1,3,0,0,1,0,0,0,0,1,2,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3,9,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3,0,1,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0,0,5,5,1,0,2,0,1,0,0,0,6,0,0,0,2,1,0,0
29,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,4,2,2,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,1,2,0,0,0,0,1,1,2,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,2,0,0,1,1,1,1,1,1,2,1,0,2,0,0,1,0,0,0,0,0,2,4,0,3,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1
